country,sheet,first_year_proj,source_label,source_file
Gambia_GMB,GMB_EBS.21.97_Ext_Debt_Data,2021,Input 1 - Basics!C18,"GMB_EBS.21.97, Sup. 1.xlsm"
Gambia_GMB,GMB_EBS.22.105_Ext_Debt_Data,2022,Input 1 - Basics!C18,"GMB_EBS.22.105, Sup. 1.xlsm"
Gambia_GMB,GMB_EBS.22.37_Ext_Debt_Data,2022,Input 1 - Basics!C18,"GMB_EBS.22.37, Sup. 1.xlsm"
Gambia_GMB,GMB_EBS.23.153_Ext_Debt_Data,2023,Input 1 - Basics!C18,"GMB_EBS.23.153, Sup. 1.xlsm"
Gambia_GMB,GMB_EBS.23.57_Ext_Debt_Data,2023,Input 1 - Basics!C18,"GMB_EBS.23.57, Sup. 1.xlsm"
Ghana_GHA,GHA_EBS.18.29_Inp_Out_Debt,2017,Output - Submit!C9,"GHA_EBS.18.29, Sup. 1.xlsm"
Ghana_GHA,GHA_EBS.19.10_Ext_Debt_Data,2018,Input 1 - Basics!C18,"GHA_EBS.19.10, Sup. 1.xlsm"
Ghana_GHA,GHA_EBS.20.38_Ext_Debt_Data,2020,Input 1 - Basics!C18,GHA_EBS.20.38.xlsm
Ghana_GHA,GHA_EBS.23.151_Ext_Debt_Data,2023,Input 1 - Basics!C18,"GHA_EBS.23.151,Sup. 1.xlsm"
Ghana_GHA,GHA_EBS.23.47_Ext_Debt_Data,2023,Input 1 - Basics!C18,"GHA_EBS.23.47, Sup. 1.xlsm"
Ghana_GHA,GHA_SM.19.264_Ext_Debt_Data,2019,Input 1 - Basics!C18,"GHA_SM.19.264, Sup. 1.xlsm"
Ghana_GHA,GHA_SM.21.128_Ext_Debt_Data,2021,Input 1 - Basics!C18,"GHA_SM.21.128, Sup. 2.xlsm"
Grenada_GRD,GRD_EBS.20.70_Ext_Debt_Data,2020,Input 1 - Basics!C18,"GRD_EBS.20.70, Sup. 1.xlsm"
Grenada_GRD,GRD_SM.18.183_Inp_Out_Debt,2018,Output - Submit!C9,"GRD_SM.18.183, Sup. 2.xlsm"
Grenada_GRD,GRD_SM.19.123_Ext_Debt_Data,2019,Input 1 - Basics!C18,"GRD_SM.19.123, Sup. 2.xlsm"
Grenada_GRD,GRD_SM.22.84_Ext_Debt_Data,2022,Input 1 - Basics!C18,"GRD_SM.22.84, Sup. 2.xlsm"
Grenada_GRD,GRD_SM.23.158_Ext_Debt_Data,2023,Input 1 - Basics!C18,"GRD_SM.23.158, Sup. 2.xlsm"
Guinea-Bissau_GNB,GNB_EBS.18.40_Inp_Out_Debt,2018,Output - Submit!C9,"GNB_EBS.18.40, Sup. 1.XLSM"
Guinea-Bissau_GNB,GNB_EBS.21.3_Ext_Debt_Data,2020,Input 1 - Basics!C18,GNB_EBS.21.3 Sup. 2.xlsm
Guinea-Bissau_GNB,GNB_EBS.21.75_Ext_Debt_Data,2021,Input 1 - Basics!C18,"GNB_EBS.21.75, Sup. 1.xlsm"
Guinea-Bissau_GNB,GNB_EBS.22.41_Ext_Debt_Data,2022,Input 1 - Basics!C18,"GNB_EBS.22.41, Sup. 1.xlsm"
Guinea-Bissau_GNB,GNB_EBS.23.119_Ext_Debt_Data,2023,Input 1 - Basics!C18,"GNB_EBS.23.119, Sup. 1.xlsm"
Guinea-Bissau_GNB,GNB_EBS.23.7_Ext_Debt_Data,2022,Input 1 - Basics!C18,"GNB_EBS.23.7, Sup. 1.xlsm"
Guinea_GIN,GIN_EBS.18.121_Ext_Debt_Data,2018,Input 1 - Basics!C18,"GIN_EBS.18.121, Sup. 1.xlsm"
Guinea_GIN,GIN_EBS.18.52_Inp_Out_Debt,2018,Output - Submit!C9,"GIN_EBS.18.52, Sup. 2.xlsm"
Guinea_GIN,GIN_EBS.19.72_Ext_Debt_Data,2019,Input 1 - Basics!C18,"GIN_EBS.19.72, Sup. 1.xlsm"
Guinea_GIN,GIN_EBS.20.116_Ext_Debt_Data,2020,Input 1 - Basics!C18,"GIN_EBS.20.116, Sup. 1.xlsm"
Guinea_GIN,GIN_EBS.20.175_Ext_Debt_Data,2020,Input 1 - Basics!C18,"GIN_EBS.20.175, Sup. 1.xlsm"
Guinea_GIN,GIN_EBS.20.22_Ext_Debt_Data,2020,Input 1 - Basics!C18,"GIN_EBS.20.22, Sup. 1.xlsm"
Guinea_GIN,GIN_EBS.22.119_Ext_Debt_Data,2022,Input 1 - Basics!C18,"GIN_EBS.22.119, Sup. 1.xlsm"
Guinea_GIN,GIN_SM.21.89_Ext_Debt_Data,2021,Input 1 - Basics!C18,"GIN_SM.21.89, Sup. 1.xlsm"
Guyana_GUY,GUY_SM.18.134_Inp_Out_Debt,2018,Output - Submit!C9,"GUY_SM.18.134, Sup. 2.xlsm"
Guyana_GUY,GUY_SM.19.199_Ext_Debt_Data,2019,Input 1 - Basics!C18,"GUY_SM.19.199, Sup. 2.xlsm"
Guyana_GUY,GUY_SM.22.195_Ext_Debt_Data,2022,Input 1 - Basics!C18,"GUY_SM.22.195, Sup. 2.xlsm"
Guyana_GUY,GUY_SM.23.219_Ext_Debt_Data,2023,Input 1 - Basics!C18,"GUY_SM.23.219, Sup. 2.xlsm"
Haiti_HTI,HTI_EBS.20.55_Ext_Debt_Data,2020,Input 1 - Basics!C18,"HTI_EBS.20.55, Sup. 1.xlsm"
Haiti_HTI,HTI_EBS.22.59_Ext_Debt_Data,2023,Input 1 - Basics!C18,HTI_EBS.22.59.xlsm
Haiti_HTI,HTI_SM.19.283_Ext_Debt_Data,2020,Input 1 - Basics!C18,"HTI_SM.19.283, Sup. 2.xlsm"
Honduras_HND,HND_EBS.19.62_Ext_Debt_Data,2019,Input 1 - Basics!C18,HND_EBS.19.62.xlsm
Honduras_HND,HND_EBS.20.102_Ext_Debt_Data,2020,Input 1 - Basics!C18,"HND_EBS.20.102, Sup. 1.xlsm"
Honduras_HND,HND_EBS.21.79_Ext_Debt_Data,2021,Input 1 - Basics!C18,"HND_EBS.21.79, Sup. 1.xlsm"
Honduras_HND,HND_EBS.23.94_Ext_Debt_Data,2023,Input 1 - Basics!C18,"HND_EBS.23.94, Sup. 2.xlsm"
Honduras_HND,HND_SM.18.114_Inp_Out_Debt,2018,Output - Submit!C9,"HND_SM.18.114, Sup. 2.xlsm"
Kenya_KEN,KEN_EBS.18.45_Inp_Out_Debt,2017,Output - Submit!C9,"KEN_EBS.18.45, Sup. 1.xlsm"
Kenya_KEN,KEN_EBS.20.88_Ext_Debt_Data,2020,Input 1 - Basics!C18,"KEN_EBS.20.88, Sup. 2.xlsm"
Kenya_KEN,KEN_EBS.21.112_Ext_Debt_Data,2021,Input 1 - Basics!C18,"KEN_EBS.21.112, Sup. 1.xlsm"
Kenya_KEN,KEN_EBS.21.29_Ext_Debt_Data,2021,Input 1 - Basics!C18,"KEN_EBS.21.29, Sup. 1.xlsm"
Kenya_KEN,KEN_EBS.22.116_Ext_Debt_Data,2022,Input 1 - Basics!C18,"KEN_EBS.22.116, Sup. 1.xlsm"
Kenya_KEN,KEN_EBS.23.76_Ext_Debt_Data,2023,Input 1 - Basics!C18,"KEN_EBS.23.76, Sup. 1.xlsm"
Kenya_KEN,KEN_EBS.24.1_Ext_Debt_Data,2023,Input 1 - Basics!C18,"KEN_EBS.24.1, Sup. 1.xlsm"
Kiribati_KIR,KIR_SM.18.297_Ext_Debt_Data,2018,Input 1 - Basics!C18,"KIR_SM.18.297, Sup. 2.xlsm"
Kiribati_KIR,KIR_SM.21.46_Ext_Debt_Data,2020,Input 1 - Basics!C18,"KIR_SM.21.46, Sup. 2.xlsm"
Kiribati_KIR,KIR_SM.23.83_Ext_Debt_Data,2022,Input 1 - Basics!C18,"KIR_SM.23.83, Sup. 2.xlsm"
Kyrgyz Republic_KGZ,KGZ_EBS.20.24_Ext_Debt_Data,2020,Input 1 - Basics!C18,"KGZ_EBS.20.24, Sup. 1.xlsm"
Kyrgyz Republic_KGZ,KGZ_SM.19.117_Ext_Debt_Data,2018,Input 1 - Basics!C18,"KGZ_SM.19.117, Sup. 2.xlsm"
Kyrgyz Republic_KGZ,KGZ_SM.21.75_Ext_Debt_Data,2021,Input 1 - Basics!C18,"KGZ_SM.21.75, Sup. 1, Cor. 1.xlsm"
Kyrgyz Republic_KGZ,KGZ_SM.23.3_Ext_Debt_Data,2022,Input 1 - Basics!C18,"KGZ_SM.23.3, Sup. 1.xlsm"
Kyrgyz Republic_KGZ,KGZ_SM.24.20_Ext_Debt_Data,2023,Input 1 - Basics!C18,"KGZ_SM.24.20, Sup. 2.xlsm"
Lao PDR_LAO,LAO_SM.18.26_Inp_Out_Debt,2017,Output - Submit!C9,"LAO_SM.18.26, Sup. 2.xlsm"
Lao PDR_LAO,LAO_SM.19.194_Ext_Debt_Data,2018,Input 1 - Basics!C18,"LAO_SM.19.194, Sup. 2.xlsm"
Lao PDR_LAO,LAO_SM.22.37_Ext_Debt_Data,2021,Input 1 - Basics!C18,"LAO_SM.22.37, Sup. 2.xlsm"
Lao PDR_LAO,LAO_SM.23.88_Ext_Debt_Data,2022,Input 1 - Basics!C18,"LAO_SM.23.88, Sup. 1.xlsm"
Lesotho_LSO,LSO_EBS.20.126_Ext_Debt_Data,2020,Input 1 - Basics!C18,"LSO_EBS.20.126, Sup. 1.xlsm"
Lesotho_LSO,LSO_SM.18.22_Inp_Out_Debt,2017,Output - Submit!C9,LSO_SM.18.22.xlsm
Lesotho_LSO,LSO_SM.19.79_Ext_Debt_Data,2018,Input 1 - Basics!C18,LSO_SM.19.79.xlsm
Lesotho_LSO,LSO_SM.22.102_Ext_Debt_Data,2022,Input 1 - Basics!C18,"LSO_SM.22.102, Sup. 2.xlsm"
Lesotho_LSO,LSO_SM.23.167_Ext_Debt_Data,2023,Input 1 - Basics!C18,"LSO_SM.23.167, Sup. 2.xlsm"
