country,source_file,status,detail
Haiti_HTI,HTI_EBS.22.59.xlsm,OK,HTI_EBS.22.59_Ext_Debt_Data
Haiti_HTI,"HTI_EBS.23.4, Sup. 1.xlsm",SKIPPED-encrypted,
Haiti_HTI,"HTI_SM.19.283, Sup. 2.xlsm",OK,HTI_SM.19.283_Ext_Debt_Data
Honduras_HND,HND_EBS.19.62.xlsm,OK,HND_EBS.19.62_Ext_Debt_Data
Honduras_HND,"HND_EBS.20.102, Sup. 1.xlsm",OK,HND_EBS.20.102_Ext_Debt_Data
Honduras_HND,"HND_EBS.21.79, Sup. 1.xlsm",OK,HND_EBS.21.79_Ext_Debt_Data
Honduras_HND,"HND_EBS.23.94, Sup. 2.xlsm",OK,HND_EBS.23.94_Ext_Debt_Data
Honduras_HND,"HND_SM.18.114, Sup. 2.xlsm",OK,HND_SM.18.114_Inp_Out_Debt
Kenya_KEN,"KEN_EBS.18.45, Sup. 1.xlsm",OK,KEN_EBS.18.45_Inp_Out_Debt
Kenya_KEN,"KEN_EBS.20.88, Sup. 2.xlsm",OK,KEN_EBS.20.88_Ext_Debt_Data
Kenya_KEN,"KEN_EBS.21.112, Sup. 1.xlsm",OK,KEN_EBS.21.112_Ext_Debt_Data
Kenya_KEN,"KEN_EBS.21.29, Sup. 1.xlsm",OK,KEN_EBS.21.29_Ext_Debt_Data
Kenya_KEN,"KEN_EBS.22.116, Sup. 1.xlsm",OK,KEN_EBS.22.116_Ext_Debt_Data
Kenya_KEN,"KEN_EBS.23.76, Sup. 1.xlsm",OK,KEN_EBS.23.76_Ext_Debt_Data
Kenya_KEN,"KEN_EBS.24.1, Sup. 1.xlsm",OK,KEN_EBS.24.1_Ext_Debt_Data
Kiribati_KIR,"KIR_SM.18.297, Sup. 2.xlsm",OK,KIR_SM.18.297_Ext_Debt_Data
Kiribati_KIR,"KIR_SM.21.46, Sup. 2.xlsm",OK,KIR_SM.21.46_Ext_Debt_Data
Kiribati_KIR,"KIR_SM.23.83, Sup. 2.xlsm",OK,KIR_SM.23.83_Ext_Debt_Data
Kyrgyz Republic_KGZ,"KGZ_EBS.20.24, Sup. 1.xlsm",OK,KGZ_EBS.20.24_Ext_Debt_Data
Kyrgyz Republic_KGZ,"KGZ_SM.19.117, Sup. 2.xlsm",OK,KGZ_SM.19.117_Ext_Debt_Data
Kyrgyz Republic_KGZ,"KGZ_SM.21.75, Sup. 1, Cor. 1.xlsm",OK,KGZ_SM.21.75_Ext_Debt_Data
Kyrgyz Republic_KGZ,"KGZ_SM.23.3, Sup. 1.xlsm",OK,KGZ_SM.23.3_Ext_Debt_Data
